image,severity,coverage,marker_found,n_mtf_edges,psf_sigma_true,psf_sigma_est,psf_sigma_rel_err,psf_method,veil_fraction_true,veil_fraction_est,veil_fraction_err,glare_method,gamma_true,gamma_est,tone_method,density_abs_rmse,density_diff_rmse
5,1.0,partial,False,4,4.651502441736837,3.1632387851651758,-0.3199533215801032,slanted_edge,1.0544535978002767,0.5202295699516789,-0.5342240278485978,beamstop_surface,2.2341038412432708,2.2,two_point,0.7514470270668879,0.6416152705502158
6,0.0,full,True,4,0.8447833744964969,0.8827125621702058,0.04489812278362514,slanted_edge,0.04849375373026919,0.043556915309048025,-0.004936838421221168,beamstop_surface,2.385644545526279,2.2,two_point,0.22234273985852784,0.1926361469921914
6,0.25,partial,False,4,1.7532516118805497,1.5905212059410831,-0.09281634469163315,slanted_edge,0.5118617455224946,0.1512554782110888,-0.3606062673114058,beamstop_surface,1.9301210919765663,2.2,two_point,0.3465799621111049,0.3220842226535155
6,0.5,none,False,3,2.715891290245929,2.437702025745185,-0.10243019133345121,slanted_edge,1.086217694096002,0.0,-1.086217694096002,none,2.407976334575815,2.2,prior,1.0825598857898433,0.9344297288224201
6,0.75,partial,False,4,3.60602330044666,2.8318890093998608,-0.21467811673621495,slanted_edge,1.1281802866326347,0.38239372125288984,-0.7457865653797449,beamstop_surface,2.0372827205598054,2.2,two_point,0.6701145473242955,0.5952957367191111
6,1.0,partial,False,4,4.495367256042306,3.1434137376079017,-0.30074373047434977,slanted_edge,1.3645819316594436,0.44812677749800683,-0.9164551541614367,beamstop_surface,2.5462962928967787,2.2,two_point,0.9933091716934543,0.7711532424288657
7,0.0,full,True,4,0.9879245439158626,0.9987069964268797,0.010914247021618036,slanted_edge,0.047505556828474474,0.04248491986381962,-0.005020636964654851,beamstop_surface,2.546686228313629,2.2,two_point,0.2505044728268965,0.2146152516933488
7,0.25,full,True,4,1.6500268027558418,1.617534128127316,-0.019692210195772143,slanted_edge,0.3496097380409919,0.19661374538711546,-0.15299599265387642,beamstop_surface,2.5648257000157297,2.2,two_point,0.38627855474359285,0.35528775115788586
7,0.5,partial,False,4,2.66702575668303,2.330129939111425,-0.12631892164048739,slanted_edge,0.5185241690250627,0.22885396747087658,-0.2896702015541861,beamstop_surface,2.4947065438116414,2.2,two_point,0.5123130012228433,0.4743360532134255
7,0.75,partial,False,4,3.7844518166332324,2.8022325271913573,-0.25954070418465214,slanted_edge,0.7659144932996282,0.34993292014889926,-0.415981573150729,beamstop_surface,2.2347257135374248,2.2,two_point,0.7660687585409739,0.6930864113147119
7,1.0,partial,False,3,4.509896234195531,3.073715151765102,-0.3184510258885398,slanted_edge,1.332485237382666,0.38806962532079053,-0.9444156120618756,beamstop_surface,1.9895385336468805,2.2,two_point,0.8421624106989435,0.7214539150352088
