severity,finding,predicted_floor,floor_lung_median,empirical_threshold,ratio,dprime_slope,linearity_r2,n_trials,veil_fraction,psf_sigma,passes,seed,degenerate,unphysical
0.0,consolidation,0.045923940352915346,0.01756693950634406,0.01038780451502849,4.420947687884882,481.3336632169272,0.9911876297268912,24,0.019938772677943507,1.2267634267393959,False,3,False,False
0.25,miliary_nodule,0.2537976655540064,0.09507271602085388,0.7459257317458489,0.3402452211428471,6.703080195795679,0.996346603598942,24,0.08201495082821361,1.008761037104384,False,3,False,False
0.25,infiltrate,0.08095372856676156,0.01751757218831307,0.05452058591267922,1.4848286608001233,91.70847884885272,0.9696622481465047,24,0.08201495082821361,1.008761037104384,True,3,False,False
0.25,cavity_wall,0.14142548934491192,0.04281947380262188,0.38101067649087983,0.37118510863644316,13.122991843824838,0.9582662981527038,24,0.08201495082821361,1.008761037104384,False,3,False,False
0.25,consolidation,0.053445284049037194,0.016505134956965224,0.021031390186184606,2.5412149922521565,237.73987148431442,0.9573461179530253,24,0.08201495082821361,1.008761037104384,False,3,False,False
0.5,miliary_nodule,0.35055675557725485,0.10717354581181429,1.7238929208456146,0.2033518157295394,2.9004121657088593,0.67790024006508,24,0.16881791709607044,0.9413879415755858,False,3,False,False
0.5,infiltrate,0.15422648364594335,0.031053027492857654,0.07028724152931899,2.194231560241423,71.13666564812256,0.9952551849725172,24,0.16881791709607044,0.9413879415755858,False,3,False,False
0.5,cavity_wall,0.24082070236695735,0.05360553261734115,1.0558337973789103,0.22808580570615444,4.7355938144927885,0.38461748918086025,24,0.16881791709607044,0.9413879415755858,False,3,False,False
0.5,consolidation,0.1005882632299614,0.030306451975393327,0.02597854669397631,3.87197422607497,192.4665016445804,0.9240195043744428,24,0.16881791709607044,0.9413879415755858,False,3,False,False
0.75,miliary_nodule,0.37711043496920255,0.09502481456347628,3.8613385443417347,0.09766313692483827,1.294887755264769,0.86676133594569,24,0.28370577191045887,0.8931558885632174,False,3,False,False
0.75,infiltrate,0.243292548659801,0.04511640491210857,0.10079700362384379,2.413688303352001,49.604649148689944,0.9860639066744847,24,0.28370577191045887,0.8931558885632174,False,3,False,False
0.75,cavity_wall,0.3023514627373153,0.05785544511828662,2.448279812039869,0.12349546863493543,2.0422502262247866,0.898623863396051,24,0.28370577191045887,0.8931558885632174,False,3,False,False
0.75,consolidation,0.15149538197564813,0.044751820591725944,0.043356821670030216,3.4941533106050335,115.32210635855208,0.9839245575598811,24,0.28370577191045887,0.8931558885632174,False,3,False,False
0.0,miliary_nodule,0.4895569642451855,0.29476196792759574,0.1848224567111789,2.64879589286173,27.052989604036455,0.8779993993050685,24,0.07576621547711715,1.4541078446566822,False,4,False,False
0.0,infiltrate,0.13278970265468656,0.0563904650015534,0.027927954197966506,4.754723590328549,179.03208966033253,0.9280922231138383,24,0.07576621547711715,1.4541078446566822,False,4,False,False
0.0,cavity_wall,0.23074424176489844,0.1256565255556189,0.11984606050309449,1.925338561787273,41.720186537720174,0.9287817901055152,24,0.07576621547711715,1.4541078446566822,True,4,False,False
0.0,consolidation,0.10303136247914119,0.05468028330815218,0.02484426247479488,4.147088792982648,201.2537101905369,0.7666129204697276,24,0.07576621547711715,1.4541078446566822,False,4,False,False
0.25,miliary_nodule,0.22626770057909043,0.12836937418614766,0.7597622353552564,0.2978138291820864,6.581006224482921,0.9707620237942013,24,0.23857262430597304,1.3773918130162215,False,4,False,False
0.25,infiltrate,0.08103915176481313,0.03628423583678302,0.05418209475425672,1.4956814078962208,92.28140814188775,0.96309732705898,24,0.23857262430597304,1.3773918130162215,True,4,False,False
0.25,cavity_wall,0.11987665216601928,0.06037271440221205,0.3486201856450835,0.34386033024507934,14.342256145461132,0.9959794096241761,24,0.23857262430597304,1.3773918130162215,False,4,False,False
0.25,consolidation,0.0649213625167393,0.0357660936080418,0.02421343450876437,2.681212468773902,206.49693450923638,0.9804578092957974,24,0.23857262430597304,1.3773918130162215,False,4,False,False
0.5,miliary_nodule,0.20687894415049984,0.10705970964866436,1.599576747638377,0.12933355305141622,3.125826883506543,0.9613112658203409,24,0.37289731020911127,1.2069807243912882,False,4,False,False
0.5,infiltrate,0.09724443385000536,0.03939522214565939,0.08416831631660847,1.1553567673162146,59.40477627224887,0.9463478054797136,24,0.37289731020911127,1.2069807243912882,True,4,False,False
0.5,cavity_wall,0.126755092453024,0.0561969622126208,1.0709235565728046,0.11836054186600274,4.668867324201104,0.9923272221333492,24,0.37289731020911127,1.2069807243912882,False,4,False,False
0.5,consolidation,0.07431994959137031,0.039025449180618836,0.04466999452936646,1.6637555113760245,111.93195908526371,0.994604144738063,24,0.37289731020911127,1.2069807243912882,True,4,False,False
0.75,miliary_nodule,0.2850912035032074,0.15636812591169488,3.89610877516667,0.07317331726473976,1.28333172622628,0.9659051593296943,24,0.5353532527824088,1.1624895127083623,False,4,False,False
0.75,infiltrate,0.113210795089137,0.052030956456631694,0.16887455228427736,0.6703839836008093,29.60777649662206,0.9236736807544915,24,0.5353532527824088,1.1624895127083623,True,4,False,False
0.75,cavity_wall,0.1675575078862909,0.07912992663141848,1.3991782111224698,0.119754228985506,3.573526202919373,0.9108274877430396,24,0.5353532527824088,1.1624895127083623,False,4,False,False
0.75,consolidation,0.0887112906494422,0.051347182925588264,0.11716634202714538,0.7571397136294429,42.67437144057624,0.9924330252363679,24,0.5353532527824088,1.1624895127083623,True,4,False,False
