image,severity,coverage,usable,glare_method,specular_frac_true,annulus_n_px,annulus_true,annulus_est,annulus_err,annulus_rel_err,interior_n_px,interior_true,interior_est,interior_err,interior_rel_err,extrapolation_penalty
6,0.0,full,True,beamstop_surface,,25751.0,0.0394049933522962,0.09808898843194956,0.05868399507965336,1.4892527592885316,67456.0,0.022265273696283772,0.09237870077595084,0.07011342707966707,3.1490036024739947,1.659750843185463
6,0.25,partial,True,beamstop_surface,,22713.0,0.20481324098769282,0.07869051696598757,-0.12612272402170527,-0.6157938003104201,67983.0,0.1302728770432043,0.06012690642600959,-0.07014597061719471,-0.5384541449401719,-0.07733965537024823
6,0.5,partial,True,beamstop_surface,,12946.0,0.4437105952723289,0.4708844364310053,0.02717384115867638,0.061242263421720504,77846.0,0.3698117836913192,0.4722282222737595,0.10241643858244032,0.2769420637713563,0.21569980034963576
6,0.75,partial,True,beamstop_constant,,17077.0,0.37868642492774524,0.5496614679594233,0.17097504303167804,0.4514950412186038,64122.0,0.410853409112799,0.5496565023450432,0.13880309323224416,0.3378409188132988,-0.11365412240530498
6,1.0,partial,True,beamstop_surface,,13475.0,0.7557306619650035,0.91003516688746,0.1543045049224565,0.2041792303639548,69962.0,0.6348391588380143,0.8827523714709128,0.24791321263289845,0.3905134224654154,0.18633419210146063
7,0.0,full,True,beamstop_surface,,27028.0,0.0322992427343486,0.002684191662422117,-0.029615051071926485,-0.9168961425969404,66748.0,0.02195060920934217,0.0019337005205740838,-0.020016908688768088,-0.9119067492782341,-0.004989393318706292
7,0.25,partial,True,beamstop_surface,,22184.0,0.17557801596200928,0.21116395893471235,0.035585942972703066,0.2026788079232139,67981.0,0.11381667373798378,0.1918674192185337,0.07805074548054992,0.6857584474857328,0.48307963956251887
7,0.5,partial,True,beamstop_surface,,19098.0,0.313675247261623,0.33851075726229407,0.02483551000067108,0.07917586809123275,64749.0,0.2757652515445304,0.3140304762483727,0.038265224703842304,0.13876013924714245,0.059584271155909696
7,0.75,partial,True,beamstop_surface,,10779.0,0.4807592935341989,0.8299875493457538,0.3492282558115549,0.726409786577974,77308.0,0.6576430365974794,0.9111987961576571,0.25355575956017773,0.3855522608009769,-0.3408575257769971
7,1.0,partial,True,beamstop_surface,,13940.0,0.383673258452208,0.2768754947933064,-0.10679776365890159,-0.27835602640053364,66111.0,0.3153454086737414,0.28761343568853875,-0.027731972985202635,-0.08794157841661913,-0.1904144479839145
